folder,filename,description,source,source_url,published,lines_last_redrawn,features,missing_on_disk
cities/az/mesa/city_council_districts,city_council_districts_2020.geojson,"Mesa (AZ) city council districts (5), 2020 map.","City of Mesa, AZ (official)",https://services2.arcgis.com/1gVyYKfYgW5Nxb1V/arcgis/rest/services/MesaCouncilDistricts/FeatureServer,2020,2020,6,
cities/az/phoenix/city_council_districts,city_council_districts_2022.geojson,"Phoenix city council districts (8), 2022 map.",City of Phoenix (official ArcGIS organization),https://services.arcgis.com/cfKakmeHE95cgeEK/arcgis/rest/services/Council_Districts1/FeatureServer,2022,2022,8,
cities/ca/fairfield/city_council_districts,city_council_districts_2025.geojson,Fairfield (CA) city council — 6 polygons named per current council member (unofficial naming; verify seats vs. council structure before precise use).,"City of Fairfield, CA (official FairfieldCA org)",https://services1.arcgis.com/A14KNJpxNyBTu19J/arcgis/rest/services/Fairfield_City_Council_Districts/FeatureServer,unknown,"unknown (current council named polygons, pulled 2026)",6,
cities/ca/fresno/city_council_districts,city_council_districts_2020.geojson,"Fresno city council districts (9), 2020 map.",City of Fresno ISD (official),https://services3.arcgis.com/ibgDyuD2DLBge82s/arcgis/rest/services/Fresno_City_Council_Districts/FeatureServer,2020,2020,7,
cities/ca/long_beach/city_council_districts,city_council_districts_2020.geojson,"Long Beach city council districts (9), 2020 map.",City of Long Beach (official),https://services6.arcgis.com/yCArG7wGXGyWLqav/arcgis/rest/services/City_of_Long_Beach_Council_Districts/FeatureServer,2020,2020,9,
cities/ca/oakland/city_council_districts,city_council_districts_2022.geojson,"Oakland city council districts (7 district seats + 1 at-large), map adopted 2022.",City of Oakland GIS (official OaklandGIS org),https://services.arcgis.com/9tC74aDHuml0x5Yz/arcgis/rest/services/CouncilDistricts_adopted2022/FeatureServer,2022,2022 (adopted 2022),7,
cities/ca/sacramento/city_council_districts,city_council_districts_2021.geojson,"Sacramento city council districts (9), 2021 map.",City of Sacramento (official),https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Council_Districts/FeatureServer,2021,2021,8,
cities/ca/san_diego/city_council_districts,city_council_districts_2021.geojson,"San Diego city council districts (8), 2021 map.","City of San Diego, via ArcGIS Online",https://services.arcgis.com/uEH09Hfm70zI2ZxR/arcgis/rest/services/San_Diego_City_Council_Districts/FeatureServer,2021,2021,9,
cities/ca/san_francisco/city_council_districts,city_council_districts_2022.geojson,"San Francisco Board of Supervisors districts (11, single-member); current map, unlabeled polygons.",SF.gov (official sfgov AGL org; data from data.sfgov.org),https://services.arcgis.com/Zs2aNLFN00jrS4gG/arcgis/rest/services/Current_Supervisor_Districts/FeatureServer,unknown,2022,11,
cities/co/colorado_springs/city_council_districts,city_council_districts_2022.geojson,"Colorado Springs city council districts, 2022 map (file labeled 2023).",City of Colorado Springs (official),https://services1.arcgis.com/V0JDguEsaeBdf94U/arcgis/rest/services/CityCouncilDistricts2023/FeatureServer,2022 (file labeled 2023),2022,6,
cities/co/denver/city_council_districts,city_council_districts_2022.geojson,"Denver city council districts (11), 2022 map.",City of Denver (official geospatial),https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/2023_Council_Districts_WFL1/FeatureServer,2022 (file labeled 2023),2022,11,
cities/fl/deerfield_beach/city_council_districts,city_council_districts_2025.geojson,"Deerfield Beach (FL) city council districts (4 district seats + 3 at-large), current map.","City of Deerfield Beach, FL (official GIS account)",https://services1.arcgis.com/yJ4j7ns7W6juha0m/arcgis/rest/services/Commission_Districts/FeatureServer,unknown,2022,4,
cities/fl/jacksonville/city_council_districts,city_council_districts_2018.geojson,"Jacksonville city council districts (9), 2018 map.","City of Jacksonville, via ArcGIS Online",https://services6.arcgis.com/o9T47trE5xQ2wsIb/arcgis/rest/services/Jacksonville_Council_Districts/FeatureServer,2018,2018,14,
cities/fl/miami/city_council_districts,city_council_districts_2022.geojson,"Miami (FL) city council districts (5 district seats + 2 at-large), current map.","City of Miami, FL (official CityMiamiFL GIS org)",https://services1.arcgis.com/CvuPhqcTQpZPT9qY/arcgis/rest/services/Commission_Districts/FeatureServer,unknown,2022,5,
cities/il/chicago/city_council_districts,city_council_districts_2023.geojson,"Chicago aldermanic (council) wards/districts (50), 2023 map.",Chicago aldermanic wards (ArcGIS Online copy; official portal is data.chicago.gov),https://services5.arcgis.com/vElyTHUSDMtSHSgT/arcgis/rest/services/Chicago_City_Council_District/FeatureServer,2023,2023,50,
